player,nationality,position,squad,age,birth_year,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,minutes_90s_gk,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk,Season,player_lower,firstname_lower,lastname_lower,firstinitial_lower,nationality_code,nationality_cleaned
Sergio Asenjo,es ESP,GK,Villarreal,30,1989,34.0,34.0,3060.0,41.0,1.21,142.0,107.0,0.746,17.0,4.0,13.0,11.0,32.4,6.0,5.0,1.0,0.0,34.0,0.0,8.0,1.0,39.6,0.24,-0.4,-0.01,166.0,451.0,36.8,759.0,150.0,39.3,37.2,280.0,54.6,44.8,354.0,20.0,5.6,18.0,0.53,13.9,19/20,sergio asenjo,sergio,asenjo,s,ESP,Spain
Emil Audero,it ITA,GK,Sampdoria,22,1997,36.0,36.0,3240.0,60.0,1.67,160.0,110.0,0.669,12.0,5.0,19.0,9.0,25.0,8.0,7.0,0.0,1.0,36.0,0.0,11.0,4.0,52.8,0.29,-3.2,-0.09,203.0,558.0,36.4,748.0,130.0,50.1,41.5,289.0,63.3,46.8,399.0,32.0,8.0,19.0,0.53,14.2,19/20,emil audero,emil,audero,e,ITA,Italy
Stefan Bajic,fr FRA,GK,Saint-Étienne,17,2001,1.0,1.0,90.0,1.0,1.0,2.0,1.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3,0.14,-0.7,-0.72,3.0,3.0,100.0,11.0,4.0,0.0,21.1,8.0,37.5,34.8,6.0,0.0,0.0,2.0,2.0,20.4,19/20,stefan bajic,stefan,bajic,s,FRA,France
Oliver Baumann,de GER,GK,Hoffenheim,29,1990,30.0,30.0,2700.0,49.0,1.63,143.0,101.0,0.692,13.0,7.0,10.0,7.0,23.3,7.0,5.0,2.0,0.0,30.0,0.0,4.0,2.0,42.2,0.26,-4.8,-0.16,163.0,436.0,37.4,1038.0,181.0,32.0,32.7,265.0,39.2,36.7,308.0,16.0,5.2,33.0,1.1,15.3,19/20,oliver baumann,oliver,baumann,o,GER,Germany
Asmir Begović,ba BIH,GK,Milan,32,1987,2.0,1.0,129.0,3.0,2.09,6.0,4.0,0.667,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.4,0.0,0.0,0.0,3.1,0.39,0.1,0.06,4.0,11.0,36.4,24.0,5.0,33.3,32.8,12.0,25.0,32.3,8.0,0.0,0.0,0.0,0.0,15.5,19/20,asmir begovic,asmir,begovic,a,BIH,Bosnia and Herzegovina
Walter Benítez,ar ARG,GK,Nice,26,1993,26.0,26.0,2340.0,36.0,1.38,129.0,99.0,0.752,9.0,8.0,9.0,4.0,15.4,6.0,4.0,1.0,1.0,26.0,0.0,7.0,2.0,44.5,0.32,10.5,0.4,87.0,203.0,42.9,573.0,132.0,22.7,27.6,212.0,34.4,34.0,254.0,18.0,7.1,9.0,0.35,14.0,19/20,walter benitez,walter,benitez,w,ARG,Argentina
Etrit Berisha,al ALB,GK,SPAL,30,1989,26.0,26.0,2340.0,41.0,1.58,142.0,106.0,0.754,5.0,3.0,18.0,3.0,11.5,6.0,6.0,0.0,0.0,26.0,1.0,2.0,2.0,44.2,0.28,2.2,0.09,196.0,440.0,44.5,650.0,136.0,46.0,37.4,234.0,60.3,45.9,276.0,21.0,7.6,14.0,0.54,13.6,19/20,etrit berisha,etrit,berisha,e,ALB,Albania
Paul Bernardoni,fr FRA,GK,Nîmes,22,1997,25.0,25.0,2204.0,38.0,1.55,102.0,69.0,0.667,7.0,4.0,14.0,6.0,24.0,4.0,4.0,0.0,0.0,24.5,0.0,3.0,1.0,32.1,0.3,-4.9,-0.2,134.0,407.0,32.9,528.0,77.0,51.3,42.4,176.0,77.3,55.5,166.0,14.0,8.4,14.0,0.57,15.2,19/20,paul bernardoni,paul,bernardoni,p,FRA,France
Dimitry Bertaud,fr FRA,GK,Montpellier,21,1998,3.0,3.0,196.0,3.0,1.38,6.0,3.0,0.5,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,1.0,0.0,1.6,0.26,-1.4,-0.66,15.0,23.0,65.2,49.0,19.0,32.7,31.5,18.0,38.9,39.4,13.0,1.0,7.7,2.0,0.92,14.3,19/20,dimitry bertaud,dimitry,bertaud,d,FRA,France
Rubén Blanco,es ESP,GK,Celta Vigo,24,1995,33.0,33.0,2960.0,43.0,1.31,126.0,87.0,0.698,6.0,14.0,13.0,10.0,30.3,5.0,5.0,0.0,0.0,32.9,3.0,3.0,0.0,40.8,0.29,-2.2,-0.07,213.0,573.0,37.2,696.0,121.0,53.9,42.5,294.0,67.3,52.9,336.0,21.0,6.3,11.0,0.33,14.3,19/20,ruben blanco,ruben,blanco,r,ESP,Spain
Yassine Bounou,ma MAR,GK,Sevilla,28,1991,6.0,5.0,495.0,3.0,0.55,19.0,17.0,0.895,4.0,1.0,0.0,4.0,80.0,1.0,1.0,0.0,0.0,5.5,0.0,0.0,0.0,3.9,0.16,0.9,0.16,42.0,84.0,50.0,125.0,24.0,41.6,36.4,45.0,71.1,51.2,40.0,3.0,7.5,2.0,0.36,15.5,19/20,yassine bounou,yassine,bounou,y,MAR,Morocco
