player,nationality,position,squad,age,birth_year,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,minutes_90s_gk,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk,Season,team_name,league_name,league_country,player_lower,firstname_lower,lastname_lower,firstinitial_lower,league_country_lower,nationality_code,nationality_cleaned,position_grouped
Rui Silva,pt POR,GK,Granada,25,1994,35.0,35.0,3150.0,42.0,1.2,136.0,97.0,0.721,15.0,8.0,12.0,12.0,34.3,5.0,4.0,1.0,0.0,35.0,1.0,5.0,0.0,42.3,0.28,0.3,0.01,348.0,898.0,38.8,978.0,115.0,66.6,49.2,301.0,82.1,60.4,332.0,38.0,11.4,41.0,1.17,15.9,19/20,Granada,La Liga,Spain,rui silva,rui,silva,r,spain,POR,Portugal,Goalkeeper
Marco Silvestri,it ITA,GK,Hellas Verona,28,1991,35.0,35.0,3150.0,43.0,1.23,148.0,108.0,0.757,11.0,13.0,11.0,9.0,25.7,7.0,7.0,0.0,0.0,35.0,1.0,7.0,1.0,42.3,0.25,0.3,0.01,193.0,718.0,26.9,661.0,78.0,66.3,48.1,330.0,84.8,59.2,367.0,17.0,4.6,9.0,0.26,12.0,19/20,Hellas Verona,Serie A,Italy,marco silvestri,marco,silvestri,m,italy,ITA,Italy,Goalkeeper
Unai Simón,es ESP,GK,Athletic Club,22,1997,34.0,34.0,2991.0,29.0,0.87,103.0,78.0,0.767,13.0,9.0,12.0,12.0,35.3,7.0,5.0,0.0,2.0,33.2,1.0,3.0,2.0,36.8,0.32,9.8,0.29,319.0,761.0,41.9,839.0,140.0,61.7,47.2,268.0,90.7,66.4,343.0,23.0,6.7,18.0,0.54,14.3,19/20,Athletic Club,La Liga,Spain,unai simon,unai,simon,u,spain,ESP,Spain,Goalkeeper
Salvatore Sirigu,it ITA,GK,Torino,32,1987,36.0,36.0,3240.0,64.0,1.78,189.0,135.0,0.7090000000000001,11.0,6.0,19.0,7.0,19.4,10.0,9.0,1.0,0.0,36.0,3.0,9.0,3.0,64.9,0.31,3.9,0.11,292.0,610.0,47.9,828.0,113.0,48.1,40.0,334.0,63.5,45.2,378.0,25.0,6.6,14.0,0.39,13.3,19/20,Torino,Serie A,Italy,salvatore sirigu,salvatore,sirigu,s,italy,ITA,Italy,Goalkeeper
Antonio Sivera,es ESP,GK,Alavés,22,1996,3.0,3.0,270.0,3.0,1.0,4.0,2.0,0.5,1.0,1.0,1.0,1.0,33.3,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,2.4,0.36,-0.6,-0.19,24.0,64.0,37.5,56.0,9.0,71.4,52.4,27.0,88.9,63.4,27.0,1.0,3.7,0.0,0.0,12.8,19/20,Alavés,La Liga,Spain,antonio sivera,antonio,sivera,a,spain,ESP,Spain,Goalkeeper
Łukasz Skorupski,pl POL,GK,Bologna,28,1991,37.0,37.0,3330.0,64.0,1.73,180.0,122.0,0.6779999999999999,12.0,10.0,15.0,2.0,5.4,8.0,6.0,1.0,1.0,37.0,2.0,6.0,1.0,57.6,0.3,-5.4,-0.15,197.0,445.0,44.3,855.0,216.0,37.7,35.3,292.0,42.1,34.8,320.0,46.0,14.4,15.0,0.41,12.9,19/20,Bologna,Serie A,Italy,ukasz skorupski,ukasz,skorupski,u,italy,POL,Poland,Goalkeeper
Dennis Smarsch,de GER,GK,Hertha BSC,20,1999,2.0,1.0,151.0,4.0,2.38,11.0,7.0,0.636,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,1.0,0.0,3.7,0.34,-0.3,-0.17,13.0,31.0,41.9,54.0,9.0,37.0,35.9,16.0,68.8,50.6,13.0,2.0,15.4,2.0,1.19,16.1,19/20,Hertha BSC,Bundesliga,Germany,dennis smarsch,dennis,smarsch,d,germany,GER,Germany,Goalkeeper
Yann Sommer,ch SUI,GK,M'Gladbach,30,1988,34.0,34.0,3060.0,40.0,1.18,152.0,110.0,0.743,20.0,5.0,9.0,7.0,20.6,2.0,1.0,1.0,0.0,34.0,1.0,3.0,0.0,44.3,0.28,4.3,0.13,230.0,486.0,47.3,1260.0,167.0,30.2,33.1,285.0,37.2,36.4,286.0,14.0,4.9,31.0,0.91,14.3,19/20,M'Gladbach,Bundesliga,Germany,yann sommer,yann,sommer,y,germany,SUI,Switzerland,Goalkeeper
David Soria,es ESP,GK,Getafe,26,1993,38.0,38.0,3420.0,37.0,0.97,102.0,70.0,0.6859999999999999,14.0,12.0,12.0,15.0,39.5,6.0,5.0,1.0,0.0,38.0,0.0,2.0,1.0,38.1,0.33,2.1,0.05,369.0,987.0,37.4,871.0,41.0,86.3,58.8,259.0,90.7,61.4,262.0,30.0,11.5,49.0,1.29,17.0,19/20,Getafe,La Liga,Spain,david soria,david,soria,d,spain,ESP,Spain,Goalkeeper
Juan Soriano,es ESP,GK,Leganés,21,1997,11.0,11.0,990.0,18.0,1.64,34.0,22.0,0.618,1.0,3.0,7.0,1.0,9.1,5.0,5.0,0.0,0.0,11.0,1.0,0.0,1.0,15.6,0.33,-1.4,-0.12,49.0,175.0,28.0,222.0,59.0,52.3,45.8,75.0,78.7,63.1,70.0,7.0,10.0,7.0,0.64,18.3,19/20,Leganés,La Liga,Spain,juan soriano,juan,soriano,j,spain,ESP,Spain,Goalkeeper
Marco Sportiello,it ITA,GK,Atalanta,27,1992,6.0,5.0,525.0,5.0,0.86,19.0,14.0,0.737,4.0,0.0,1.0,2.0,40.0,0.0,0.0,0.0,0.0,5.8,0.0,0.0,0.0,4.6,0.24,-0.4,-0.06,11.0,32.0,34.4,125.0,30.0,17.6,27.7,27.0,37.0,37.1,31.0,4.0,12.9,7.0,1.2,19.3,19/20,Atalanta,Serie A,Italy,marco sportiello,marco,sportiello,m,italy,ITA,Italy,Goalkeeper
Jed Steer,eng ENG,GK,Aston Villa,26,1992,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,26.0,1.0,100.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,19/20,Aston Villa,Premier League,England,jed steer,jed,steer,j,england,ENG,England,Goalkeeper
Zack Steffen,us USA,GK,Düsseldorf,24,1995,17.0,17.0,1530.0,36.0,2.12,95.0,61.0,0.632,4.0,3.0,10.0,2.0,11.8,2.0,1.0,1.0,0.0,17.0,1.0,6.0,1.0,31.9,0.32,-3.1,-0.18,156.0,327.0,47.7,477.0,101.0,48.6,41.9,143.0,66.4,55.3,145.0,9.0,6.2,11.0,0.65,13.6,19/20,Düsseldorf,Bundesliga,Germany,zack steffen,zack,steffen,z,germany,USA,United States,Goalkeeper
Thomas Strakosha,al ALB,GK,Lazio,24,1995,38.0,38.0,3420.0,42.0,1.11,145.0,111.0,0.759,24.0,6.0,8.0,11.0,28.9,9.0,7.0,1.0,1.0,38.0,1.0,8.0,1.0,45.6,0.27,4.6,0.12,202.0,453.0,44.6,931.0,149.0,40.7,34.5,292.0,25.3,27.2,282.0,15.0,5.3,17.0,0.45,13.9,19/20,Lazio,Serie A,Italy,thomas strakosha,thomas,strakosha,t,italy,ALB,Albania,Goalkeeper
Wojciech Szczęsny,pl POL,GK,Juventus,29,1990,29.0,29.0,2591.0,33.0,1.15,120.0,95.0,0.792,19.0,4.0,6.0,11.0,37.9,10.0,8.0,1.0,1.0,28.8,1.0,4.0,0.0,34.6,0.22,1.6,0.06,108.0,200.0,54.0,565.0,156.0,28.5,32.5,196.0,19.9,26.8,219.0,11.0,5.0,22.0,0.76,15.0,19/20,Juventus,Serie A,Italy,wojciech szczesny,wojciech,szczesny,w,italy,POL,Poland,Goalkeeper
Ciprian Tătărușanu,ro ROU,GK,Lyon,33,1986,2.0,2.0,180.0,2.0,1.0,11.0,9.0,0.818,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.9,0.18,-0.1,-0.06,14.0,18.0,77.8,53.0,15.0,26.4,30.0,6.0,66.7,44.5,7.0,2.0,28.6,2.0,1.0,15.0,19/20,Lyon,Ligue 1,France,ciprian tatarusanu,ciprian,tatarusanu,c,france,ROU,Romania,Goalkeeper
Marc-André ter Stegen,de GER,GK,Barcelona,27,1992,36.0,36.0,3240.0,36.0,1.0,110.0,78.0,0.727,24.0,6.0,6.0,14.0,38.9,7.0,6.0,1.0,0.0,36.0,2.0,1.0,0.0,34.8,0.27,-1.2,-0.03,205.0,338.0,60.7,1200.0,177.0,22.8,28.8,219.0,29.7,31.0,266.0,13.0,4.9,27.0,0.75,15.1,19/20,Barcelona,La Liga,Spain,marc-andre ter stegen,marc-andre,stegen,m,spain,GER,Germany,Goalkeeper
Pietro Terracciano,it ITA,GK,Fiorentina,29,1990,7.0,7.0,624.0,5.0,0.72,19.0,16.0,0.895,5.0,1.0,1.0,3.0,42.9,3.0,3.0,0.0,0.0,6.9,0.0,0.0,0.0,6.2,0.19,1.2,0.17,27.0,91.0,29.7,151.0,36.0,45.0,39.0,59.0,39.0,35.9,86.0,6.0,7.0,5.0,0.72,13.2,19/20,Fiorentina,Serie A,Italy,pietro terracciano,pietro,terracciano,p,italy,ITA,Italy,Goalkeeper
Demba Thiam,sn SEN,GK,SPAL,21,1998,2.0,2.0,180.0,4.0,2.0,14.0,11.0,0.7859999999999999,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,3.4,0.18,-0.6,-0.29,10.0,25.0,40.0,44.0,13.0,36.4,36.1,27.0,33.3,29.6,19.0,1.0,5.3,1.0,0.5,15.2,19/20,SPAL,Serie A,Italy,demba thiam,demba,thiam,d,italy,SEN,Senegal,Goalkeeper
Niclas Thiede,de GER,GK,Freiburg,20,1999,1.0,0.0,69.0,1.0,1.3,4.0,3.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,1.0,0.24,0.0,-0.04,1.0,9.0,11.1,34.0,11.0,26.5,32.1,7.0,0.0,20.4,8.0,1.0,12.5,1.0,1.3,14.9,19/20,Freiburg,Bundesliga,Germany,niclas thiede,niclas,thiede,n,germany,GER,Germany,Goalkeeper
Kevin Trapp,de GER,GK,Eint Frankfurt,29,1990,22.0,22.0,1980.0,38.0,1.73,104.0,69.0,0.644,11.0,3.0,8.0,4.0,18.2,1.0,1.0,0.0,0.0,22.0,1.0,3.0,2.0,32.0,0.3,-4.0,-0.18,181.0,403.0,44.9,794.0,90.0,42.3,37.1,145.0,46.2,41.2,168.0,17.0,10.1,21.0,0.95,15.1,19/20,Eint Frankfurt,Bundesliga,Germany,kevin trapp,kevin,trapp,k,germany,GER,Germany,Goalkeeper
Mark Travers,ie IRL,GK,Bournemouth,20,1999,1.0,1.0,90.0,3.0,3.0,5.0,2.0,0.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.6,0.52,-0.4,-0.39,7.0,13.0,53.8,24.0,5.0,33.3,34.5,8.0,62.5,45.4,7.0,0.0,0.0,0.0,0.0,14.9,19/20,Bournemouth,Premier League,England,mark travers,mark,travers,m,england,IRL,Ireland,Goalkeeper
Stefano Turati,it ITA,GK,Sassuolo,0,0,2.0,2.0,180.0,4.0,2.0,11.0,8.0,0.727,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.8,0.26,-0.2,-0.08,4.0,12.0,33.3,37.0,9.0,24.3,26.9,14.0,21.4,25.6,20.0,2.0,10.0,2.0,1.0,18.2,19/20,Sassuolo,Serie A,Italy,stefano turati,stefano,turati,s,italy,ITA,Italy,Goalkeeper
Samir Ujkani,xk KVX,GK,Torino,31,1988,1.0,1.0,90.0,3.0,3.0,5.0,3.0,0.6,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.7,0.35,-0.3,-0.31,8.0,14.0,57.1,43.0,2.0,30.2,33.4,9.0,11.1,25.4,9.0,0.0,0.0,1.0,1.0,18.0,19/20,Torino,Serie A,Italy,samir ujkani,samir,ujkani,s,italy,KVX,Kosovo,Goalkeeper
Sven Ulreich,de GER,GK,Bayern Munich,30,1988,2.0,2.0,90.0,1.0,1.0,3.0,2.0,0.667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.4,0.5,0.4,0.44,7.0,13.0,53.8,42.0,5.0,26.2,28.1,10.0,20.0,25.7,10.0,1.0,10.0,1.0,1.0,12.0,19/20,Bayern Munich,Bundesliga,Germany,sven ulreich,sven,ulreich,s,germany,GER,Germany,Goalkeeper
Tomáš Vaclík,cz CZE,GK,Sevilla,30,1989,33.0,33.0,2925.0,31.0,0.95,96.0,68.0,0.698,15.0,12.0,6.0,14.0,42.4,3.0,2.0,1.0,0.0,32.5,3.0,3.0,1.0,25.4,0.24,-4.6,-0.14,178.0,417.0,42.7,686.0,155.0,40.1,37.3,235.0,60.4,48.1,260.0,20.0,7.7,16.0,0.49,14.0,19/20,Sevilla,La Liga,Spain,tomas vaclik,tomas,vaclik,t,spain,CZE,Czech Republic,Goalkeeper
Koke Vegas,es ESP,GK,Levante,23,1995,2.0,2.0,180.0,2.0,1.0,10.0,8.0,0.8,2.0,0.0,0.0,1.0,50.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.7,0.17,-0.3,-0.13,7.0,26.0,26.9,43.0,16.0,46.5,40.6,20.0,30.0,30.6,30.0,2.0,6.7,2.0,1.0,15.6,19/20,Levante,La Liga,Spain,koke vegas,koke,vegas,k,spain,ESP,Spain,Goalkeeper
Mauro Vigorito,it ITA,GK,Lecce,29,1990,5.0,4.0,423.0,9.0,1.91,27.0,19.0,0.7040000000000001,3.0,0.0,1.0,1.0,25.0,1.0,1.0,0.0,0.0,4.7,0.0,1.0,0.0,9.4,0.33,0.4,0.08,24.0,64.0,37.5,104.0,27.0,43.3,36.3,49.0,38.8,32.2,61.0,4.0,6.6,1.0,0.21,11.6,19/20,,,,mauro vigorito,mauro,vigorito,m,,ITA,Italy,Goalkeeper
Iván Villar,es ESP,GK,Celta Vigo,22,1997,4.0,3.0,280.0,5.0,1.61,11.0,6.0,0.545,0.0,1.0,2.0,1.0,33.3,0.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,4.7,0.42,-0.3,-0.11,15.0,43.0,34.9,61.0,6.0,39.3,35.5,28.0,67.9,55.3,34.0,3.0,8.8,3.0,0.96,16.0,19/20,Celta Vigo,La Liga,Spain,ivan villar,ivan,villar,i,spain,ESP,Spain,Goalkeeper
Felix Wiedwald,de GER,GK,Eint Frankfurt,29,1990,3.0,3.0,270.0,8.0,2.67,21.0,13.0,0.619,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,6.7,0.32,-1.3,-0.43,26.0,52.0,50.0,79.0,14.0,49.4,38.0,24.0,54.2,41.8,28.0,2.0,7.1,3.0,1.0,16.1,19/20,Eint Frankfurt,Bundesliga,Germany,felix wiedwald,felix,wiedwald,f,germany,GER,Germany,Goalkeeper
Yoel,es ESP,GK,Eibar,30,1988,4.0,4.0,270.0,5.0,1.67,14.0,9.0,0.643,2.0,0.0,1.0,1.0,25.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,3.8,0.21,-1.2,-0.39,38.0,80.0,47.5,69.0,6.0,82.6,59.1,24.0,95.8,72.4,29.0,1.0,3.4,3.0,1.0,13.3,19/20,Eibar,La Liga,Spain,yoel,yoel,yoel,y,spain,ESP,Spain,Goalkeeper
Robin Zentner,de GER,GK,Mainz 05,24,1994,22.0,22.0,1935.0,40.0,1.86,113.0,75.0,0.655,8.0,2.0,12.0,3.0,13.6,2.0,1.0,1.0,0.0,21.5,0.0,6.0,1.0,37.0,0.32,-2.0,-0.1,135.0,409.0,33.0,604.0,144.0,47.4,40.8,196.0,62.8,51.6,226.0,23.0,10.2,20.0,0.93,16.2,19/20,Mainz 05,Bundesliga,Germany,robin zentner,robin,zentner,r,germany,GER,Germany,Goalkeeper
Leopold Zingerle,de GER,GK,Paderborn 07,25,1994,28.0,28.0,2520.0,57.0,2.04,147.0,95.0,0.633,4.0,7.0,17.0,5.0,17.9,4.0,3.0,1.0,0.0,28.0,3.0,7.0,2.0,56.8,0.38,1.8,0.07,192.0,380.0,50.5,982.0,187.0,31.1,32.3,235.0,31.9,32.5,259.0,10.0,3.9,17.0,0.61,14.0,19/20,,,,leopold zingerle,leopold,zingerle,l,,GER,Germany,Goalkeeper
Adrián,es ESP,GK,Liverpool,33,1987,2.0,2.0,180.0,9.0,4.5,16.0,7.0,0.43799999999999994,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,7.1,0.45,-1.9,-0.93,9.0,25.0,36.0,48.0,14.0,37.5,36.0,14.0,50.0,38.7,18.0,2.0,11.1,0.0,0.0,12.3,20/21,Liverpool,Premier League,England,adrian,adrian,adrian,a,england,ESP,Spain,Goalkeeper
Alisson,br BRA,GK,Liverpool,28,1992,11.0,11.0,990.0,10.0,0.91,31.0,23.0,0.742,8.0,3.0,0.0,3.0,27.3,5.0,2.0,1.0,2.0,11.0,0.0,1.0,0.0,12.3,0.34,2.3,0.21,45.0,103.0,43.7,282.0,45.0,28.4,32.4,62.0,37.1,36.4,64.0,1.0,1.6,12.0,1.09,17.1,20/21,Liverpool,Premier League,England,alisson,alisson,alisson,a,england,BRA,Brazil,Goalkeeper
Saturnin Allagbé,bj BEN,GK,Dijon,27,1993,4.0,4.0,360.0,8.0,2.0,20.0,12.0,0.6,0.0,2.0,2.0,1.0,25.0,1.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,6.1,0.3,-1.9,-0.48,20.0,53.0,37.7,103.0,20.0,40.8,35.1,27.0,40.7,34.9,35.0,0.0,0.0,5.0,1.25,16.4,20/21,Dijon,Ligue 1,France,saturnin allagbe,saturnin,allagbe,s,france,BEN,Benin,Goalkeeper
Nícolas Andrade,br BRA,GK,Udinese,32,1988,2.0,2.0,180.0,5.0,2.5,7.0,2.0,0.28600000000000003,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.58,-1.0,-0.48,6.0,13.0,46.2,31.0,5.0,25.8,32.1,9.0,55.6,47.4,16.0,0.0,0.0,0.0,0.0,15.2,20/21,Udinese,Serie A,Italy,nicolas andrade,nicolas,andrade,n,italy,BRA,Brazil,Goalkeeper
Alphonse Areola,fr FRA,GK,Fulham,27,1993,13.0,13.0,1170.0,20.0,1.54,67.0,52.0,0.7759999999999999,2.0,4.0,7.0,2.0,15.4,5.0,5.0,0.0,0.0,13.0,0.0,1.0,0.0,23.3,0.29,3.3,0.25,67.0,167.0,40.1,245.0,60.0,44.5,37.0,88.0,65.9,47.7,126.0,19.0,15.1,6.0,0.46,12.5,20/21,Fulham,Premier League,England,alphonse areola,alphonse,areola,a,england,FRA,France,Goalkeeper
Kepa Arrizabalaga,es ESP,GK,Chelsea,26,1994,3.0,3.0,270.0,6.0,2.0,14.0,8.0,0.5710000000000001,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.8,0.34,-1.2,-0.42,21.0,40.0,52.5,79.0,17.0,34.2,32.2,27.0,48.1,40.0,27.0,4.0,14.8,0.0,0.0,14.0,20/21,Chelsea,Premier League,England,kepa arrizabalaga,kepa,arrizabalaga,k,england,ESP,Spain,Goalkeeper
Sergio Asenjo,es ESP,GK,Villarreal,31,1989,15.0,15.0,1350.0,15.0,1.0,41.0,31.0,0.7070000000000001,6.0,8.0,1.0,4.0,26.7,3.0,3.0,0.0,0.0,15.0,0.0,1.0,1.0,11.4,0.21,-1.6,-0.11,88.0,184.0,47.8,430.0,95.0,31.4,34.2,106.0,46.2,40.9,168.0,21.0,12.5,7.0,0.47,12.5,20/21,Villarreal,La Liga,Spain,sergio asenjo,sergio,asenjo,s,spain,ESP,Spain,Goalkeeper
Emil Audero,it ITA,GK,Sampdoria,23,1997,14.0,14.0,1260.0,24.0,1.71,61.0,43.0,0.6890000000000001,5.0,2.0,7.0,1.0,7.1,5.0,5.0,0.0,0.0,14.0,0.0,4.0,1.0,20.1,0.27,-2.9,-0.21,91.0,225.0,40.4,356.0,68.0,46.9,38.4,104.0,55.8,43.0,142.0,11.0,7.7,5.0,0.36,12.2,20/21,Sampdoria,Serie A,Italy,emil audero,emil,audero,e,italy,ITA,Italy,Goalkeeper
Édgar Badía,es ESP,GK,Elche,28,1992,13.0,13.0,1170.0,16.0,1.23,61.0,47.0,0.77,3.0,6.0,4.0,4.0,30.8,4.0,2.0,1.0,1.0,13.0,0.0,2.0,0.0,18.0,0.26,2.0,0.15,93.0,203.0,45.8,412.0,70.0,32.8,33.0,118.0,57.6,38.7,148.0,10.0,6.8,11.0,0.85,13.5,20/21,Elche,La Liga,Spain,edgar badia,edgar,badia,e,spain,ESP,Spain,Goalkeeper
Oliver Baumann,de GER,GK,Hoffenheim,30,1990,12.0,12.0,1080.0,22.0,1.83,60.0,39.0,0.6829999999999999,4.0,2.0,6.0,0.0,0.0,4.0,3.0,0.0,1.0,12.0,0.0,1.0,0.0,21.2,0.35,0.2,0.02,68.0,178.0,38.2,398.0,59.0,36.4,34.0,90.0,36.7,35.9,101.0,2.0,2.0,17.0,1.55,16.9,20/21,Hoffenheim,Bundesliga,Germany,oliver baumann,oliver,baumann,o,germany,GER,Germany,Goalkeeper
Walter Benítez,ar ARG,GK,Nice,27,1993,16.0,16.0,1440.0,22.0,1.37,72.0,53.0,0.764,6.0,4.0,6.0,5.0,31.3,5.0,5.0,0.0,0.0,16.0,0.0,3.0,0.0,23.1,0.26,1.1,0.07,53.0,150.0,35.3,440.0,72.0,26.6,29.4,142.0,23.2,28.7,144.0,12.0,8.3,6.0,0.38,11.4,20/21,Nice,Ligue 1,France,walter benitez,walter,benitez,w,france,ARG,Argentina,Goalkeeper
Paul Bernardoni,fr FRA,GK,Angers,23,1997,17.0,17.0,1530.0,26.0,1.53,70.0,45.0,0.657,8.0,3.0,6.0,4.0,23.5,3.0,2.0,1.0,0.0,17.0,0.0,2.0,0.0,22.9,0.29,-3.1,-0.18,72.0,220.0,32.7,306.0,90.0,46.7,40.1,113.0,68.1,51.4,164.0,13.0,7.9,4.0,0.24,12.3,20/21,Angers,Ligue 1,France,paul bernardoni,paul,bernardoni,p,france,FRA,France,Goalkeeper
Dimitry Bertaud,fr FRA,GK,Montpellier,22,1998,3.0,2.0,225.0,1.0,0.4,5.0,5.0,1.0,2.0,0.0,0.0,2.0,100.0,1.0,1.0,0.0,0.0,2.5,0.0,0.0,0.0,2.0,0.22,1.0,0.39,36.0,61.0,59.0,70.0,13.0,62.9,44.5,20.0,85.0,60.6,19.0,2.0,10.5,0.0,0.0,11.9,20/21,Montpellier,Ligue 1,France,dimitry bertaud,dimitry,bertaud,d,france,FRA,France,Goalkeeper
Rubén Blanco,es ESP,GK,Celta Vigo,25,1995,8.0,8.0,720.0,11.0,1.37,26.0,16.0,0.615,4.0,2.0,2.0,3.0,37.5,1.0,1.0,0.0,0.0,8.0,0.0,1.0,0.0,10.0,0.36,-1.0,-0.12,33.0,132.0,25.0,224.0,40.0,40.2,36.3,62.0,67.7,47.2,73.0,3.0,4.1,5.0,0.63,15.1,20/21,Celta Vigo,La Liga,Spain,ruben blanco,ruben,blanco,r,spain,ESP,Spain,Goalkeeper
Yassine Bounou,ma MAR,GK,Sevilla,29,1991,10.0,10.0,900.0,7.0,0.7,33.0,27.0,0.7879999999999999,5.0,2.0,3.0,4.0,40.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0,1.0,8.2,0.25,2.2,0.22,54.0,114.0,47.4,240.0,39.0,32.5,33.7,61.0,59.0,44.4,82.0,4.0,4.9,6.0,0.6,15.4,20/21,Sevilla,La Liga,Spain,yassine bounou,yassine,bounou,y,spain,MAR,Morocco,Goalkeeper
Claudio Bravo,cl CHI,GK,Betis,37,1983,7.0,7.0,630.0,15.0,2.14,32.0,19.0,0.594,3.0,0.0,4.0,2.0,28.6,3.0,2.0,1.0,0.0,7.0,0.0,2.0,1.0,15.1,0.42,1.1,0.15,51.0,121.0,42.1,206.0,31.0,49.0,40.6,32.0,62.5,48.2,44.0,3.0,6.8,2.0,0.29,12.1,20/21,Betis,La Liga,Spain,claudio bravo,claudio,bravo,c,spain,CHI,Chile,Goalkeeper
Gianluigi Buffon,it ITA,GK,Juventus,42,1978,4.0,4.0,360.0,2.0,0.5,9.0,8.0,0.889,3.0,1.0,0.0,2.0,50.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,2.4,0.18,0.4,0.11,9.0,22.0,40.9,103.0,19.0,19.4,27.2,33.0,6.1,18.4,33.0,0.0,0.0,5.0,1.25,14.6,20/21,Juventus,Serie A,Italy,gianluigi buffon,gianluigi,buffon,g,italy,ITA,Italy,Goalkeeper
Roman Bürki,ch SUI,GK,Dortmund,30,1990,11.0,11.0,990.0,18.0,1.64,40.0,24.0,0.6,5.0,1.0,5.0,3.0,27.3,2.0,2.0,0.0,0.0,11.0,0.0,4.0,0.0,14.2,0.32,-3.8,-0.35,34.0,97.0,35.1,273.0,53.0,29.7,31.6,52.0,30.8,32.3,61.0,3.0,4.9,4.0,0.36,14.6,20/21,Dortmund,Bundesliga,Germany,roman burki,roman,burki,r,germany,SUI,Switzerland,Goalkeeper
Marcin Bułka,pl POL,GK,Paris S-G,21,1999,1.0,1.0,90.0,1.0,1.0,3.0,2.0,0.667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.3,0.45,0.3,0.32,2.0,5.0,40.0,28.0,9.0,17.9,25.5,2.0,0.0,21.5,7.0,0.0,0.0,2.0,2.0,13.1,20/21,Paris S-G,Ligue 1,France,marcin buka,marcin,buka,m,france,POL,Poland,Goalkeeper
Willy Caballero,ar ARG,GK,Chelsea,39,1981,1.0,1.0,90.0,3.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.5,0.49,-1.5,-1.54,1.0,3.0,33.3,20.0,2.0,15.0,24.6,6.0,0.0,19.7,8.0,0.0,0.0,2.0,2.0,22.0,20/21,Chelsea,Premier League,England,willy caballero,willy,caballero,w,england,ARG,Argentina,Goalkeeper
Marc-Aurèle Caillard,fr FRA,GK,Metz,26,1994,2.0,1.0,91.0,1.0,0.99,6.0,5.0,0.833,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.8,0.29,0.8,0.74,7.0,15.0,46.7,23.0,9.0,47.8,39.3,6.0,66.7,55.2,9.0,0.0,0.0,0.0,0.0,12.7,20/21,Metz,Ligue 1,France,marc-aurele caillard,marc-aurele,caillard,m,france,FRA,France,Goalkeeper
