player,nationality,position,squad,age,birth_year,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,minutes_90s_gk,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk
Florian Müller,de GER,GK,Freiburg,23-023,1997,10.0,10.0,900.0,22.0,2.2,51.0,31.0,0.608,1.0,5.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,10.0,2.0,2.0,0.0,17.6,0.31,-4.4,-0.44,61.0,176.0,34.7,301.0,29.0,36.2,37.3,91.0,73.6,57.4,73.0,4.0,5.5,4.0,0.4,15.3
Juan Musso,ar ARG,GK,Udinese,26-214,1994,7.0,7.0,630.0,8.0,1.14,18.0,12.0,0.611,2.0,1.0,4.0,2.0,28.6,1.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,6.4,0.31,-0.6,-0.08,32.0,90.0,35.6,177.0,34.0,40.1,36.7,46.0,41.3,36.6,43.0,6.0,14.0,5.0,0.71,14.2
Paul Nardi,fr FRA,GK,Lorient,26-202,1994,12.0,12.0,1080.0,22.0,1.83,58.0,38.0,0.655,2.0,2.0,8.0,1.0,8.3,3.0,2.0,0.0,1.0,12.0,0.0,0.0,0.0,16.7,0.26,-5.3,-0.44,74.0,206.0,35.9,240.0,65.0,52.5,41.0,111.0,72.1,55.5,98.0,4.0,4.1,7.0,0.58,14.0
Keylor Navas,cr CRC,GK,Paris S-G,33-357,1986,9.0,9.0,810.0,5.0,0.56,22.0,18.0,0.818,8.0,0.0,1.0,6.0,66.7,2.0,1.0,1.0,0.0,9.0,0.0,2.0,0.0,8.2,0.29,3.2,0.35,38.0,65.0,58.5,167.0,33.0,27.5,30.6,68.0,27.9,30.6,76.0,4.0,5.3,3.0,0.33,10.9
Neto,br BRA,GK,Barcelona,31-140,1989,6.0,6.0,540.0,6.0,1.0,19.0,14.0,0.789,2.0,2.0,2.0,2.0,33.3,2.0,2.0,0.0,0.0,6.0,0.0,1.0,0.0,6.6,0.26,0.6,0.1,17.0,35.0,48.6,150.0,30.0,18.7,27.3,41.0,17.1,24.4,52.0,2.0,3.8,4.0,0.67,15.7
Manuel Neuer,de GER,GK,Bayern Munich,34-254,1986,10.0,10.0,900.0,16.0,1.6,40.0,24.0,0.625,7.0,2.0,1.0,2.0,20.0,1.0,1.0,0.0,0.0,10.0,0.0,1.0,0.0,19.0,0.46,3.0,0.3,69.0,110.0,62.7,344.0,60.0,27.3,31.3,54.0,29.6,33.0,72.0,1.0,1.4,11.0,1.1,16.1
Jan Oblak,si SVN,GK,Atlético Madrid,27-334,1993,10.0,10.0,900.0,2.0,0.2,34.0,32.0,0.941,8.0,2.0,0.0,8.0,80.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,6.3,0.19,4.3,0.43,70.0,170.0,41.2,204.0,29.0,57.4,43.4,88.0,60.2,46.9,94.0,7.0,7.4,2.0,0.2,13.1
Robin Olsen,se SWE,GK,Everton,30-333,1990,1.0,1.0,90.0,2.0,2.0,3.0,2.0,0.667,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.4,0.53,0.4,0.43,6.0,7.0,85.7,17.0,3.0,41.2,35.0,3.0,0.0,19.3,3.0,0.0,0.0,0.0,0.0,0.0
Jonas Omlin,ch SUI,GK,Montpellier,26-331,1994,11.0,11.0,945.0,18.0,1.71,45.0,31.0,0.711,5.0,2.0,4.0,1.0,9.1,5.0,5.0,0.0,0.0,10.5,0.0,1.0,1.0,18.8,0.32,1.8,0.17,80.0,185.0,43.2,254.0,49.0,50.4,41.1,79.0,72.2,53.4,93.0,10.0,10.8,4.0,0.38,13.2
Stefan Ortega,de GER,GK,Arminia,28-030,1992,10.0,10.0,900.0,20.0,2.0,56.0,37.0,0.661,2.0,1.0,7.0,1.0,10.0,2.0,1.0,1.0,0.0,10.0,0.0,4.0,0.0,16.7,0.3,-2.3,-0.25,114.0,240.0,47.5,448.0,35.0,46.9,40.6,57.0,52.6,44.1,96.0,4.0,4.2,7.0,0.78,14.6
David Ospina,co COL,GK,Napoli,32-097,1988,4.0,4.0,360.0,3.0,0.75,12.0,10.0,0.833,3.0,0.0,1.0,2.0,50.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.1,-1.0,-0.24,21.0,45.0,46.7,111.0,14.0,37.8,36.3,8.0,37.5,36.5,18.0,3.0,16.7,5.0,1.25,19.5
Alexandre Oukidja,dz ALG,GK,Metz,32-140,1988,12.0,12.0,1080.0,11.0,0.92,43.0,34.0,0.791,4.0,4.0,4.0,2.0,16.7,3.0,2.0,1.0,0.0,12.0,0.0,2.0,0.0,12.8,0.25,1.8,0.15,95.0,251.0,37.8,296.0,69.0,58.1,46.1,97.0,81.4,59.8,109.0,18.0,16.5,12.0,1.0,15.3
