Rank,Club,Country,Domestic Division,Elo,Year,Season
None,Palermo,ITA,2,1475.3762207,2019,2019/2020
None,Parma,ITA,1,1557.61755371,2015,2015/2016
None,Parma,ITA,2,1429.26135254,2017,2017/2018
None,Parma,ITA,1,1514.86218262,2018,2018/2019
None,Parma,ITA,1,1564.98669434,2019,2019/2020
None,Parma,ITA,1,1570.60290527,2020,2020/2021
None,Parma,ITA,2,1498.25537109,2021,2021/2022
None,Perugia,ITA,2,1469.31274414,2015,2015/2016
None,Perugia,ITA,2,1420.24414062,2016,2016/2017
None,Perugia,ITA,2,1417.63635254,2017,2017/2018
None,Perugia,ITA,2,1415.06359863,2018,2018/2019
None,Perugia,ITA,2,1394.86120605,2019,2019/2020
None,Perugia,ITA,2,1365.20861816,2020,2020/2021
None,Perugia,ITA,2,1369.27050781,2021,2021/2022
None,Pescara,ITA,2,1508.12145996,2015,2015/2016
None,Pescara,ITA,1,1447.25439453,2016,2016/2017
None,Pescara,ITA,2,1422.56323242,2017,2017/2018
None,Pescara,ITA,2,1421.79492188,2018,2018/2019
None,Pescara,ITA,2,1402.46655273,2019,2019/2020
None,Pescara,ITA,2,1348.23535156,2020,2020/2021
None,Pescara,ITA,2,1323.87646484,2021,2021/2022
None,Pisa,ITA,2,1370.92773438,2016,2016/2017
None,Pisa,ITA,2,1347.88720703,2017,2017/2018
None,Pisa,ITA,2,1376.44018555,2019,2019/2020
None,Pisa,ITA,2,1426.71606445,2020,2020/2021
None,Pisa,ITA,2,1434.27453613,2021,2021/2022
None,Pordenone,ITA,2,1415.82885742,2019,2019/2020
None,Pordenone,ITA,2,1432.63671875,2020,2020/2021
None,Pordenone,ITA,2,1385.52453613,2021,2021/2022
None,Pro Vercelli,ITA,2,1369.72387695,2015,2015/2016
None,Pro Vercelli,ITA,2,1364.87817383,2016,2016/2017
None,Pro Vercelli,ITA,2,1352.97521973,2017,2017/2018
None,Pro Vercelli,ITA,2,1346.66210938,2018,2018/2019
None,Reggiana,ITA,2,1380.26391602,2020,2020/2021
None,Reggiana,ITA,2,1338.23657227,2021,2021/2022
None,Reggina,ITA,2,1381.51074219,2020,2020/2021
None,Reggina,ITA,2,1435.01269531,2021,2021/2022
27,Roma,ITA,1,1762.07421875,2015,2015/2016
18,Roma,ITA,1,1786.7545166,2016,2016/2017
13,Roma,ITA,1,1854.09326172,2017,2017/2018
20,Roma,ITA,1,1774.82348633,2018,2018/2019
28,Roma,ITA,1,1764.1015625,2019,2019/2020
26,Roma,ITA,1,1766.9473877,2020,2020/2021
32,Roma,ITA,1,1755.12902832,2021,2021/2022
None,Salernitana,ITA,2,1365.00866699,2015,2015/2016
None,Salernitana,ITA,2,1385.39404297,2016,2016/2017
None,Salernitana,ITA,2,1409.39160156,2017,2017/2018
None,Salernitana,ITA,2,1381.29345703,2018,2018/2019
None,Salernitana,ITA,2,1353.80358887,2019,2019/2020
None,Salernitana,ITA,2,1432.92834473,2020,2020/2021
None,Salernitana,ITA,1,1471.63134766,2021,2021/2022
96,Sampdoria,ITA,1,1611.12231445,2015,2015/2016
None,Sampdoria,ITA,1,1569.80627441,2016,2016/2017
73,Sampdoria,ITA,1,1634.54943848,2017,2017/2018
73,Sampdoria,ITA,1,1632.90075684,2018,2018/2019
None,Sampdoria,ITA,1,1570.66955566,2019,2019/2020
89,Sampdoria,ITA,1,1610.87487793,2020,2020/2021
75,Sampdoria,ITA,1,1641.6932373,2021,2021/2022
63,Sassuolo,ITA,1,1660.62451172,2015,2015/2016
None,Sassuolo,ITA,1,1593.33447266,2016,2016/2017
92,Sassuolo,ITA,1,1599.82019043,2017,2017/2018
99,Sassuolo,ITA,1,1588.87182617,2018,2018/2019
None,Sassuolo,ITA,1,1585.46020508,2019,2019/2020
54,Sassuolo,ITA,1,1683.34069824,2020,2020/2021
47,Sassuolo,ITA,1,1701.22888184,2021,2021/2022
None,Spal,ITA,2,1444.54870605,2016,2016/2017
None,Spal,ITA,1,1507.94482422,2017,2017/2018
None,Spal,ITA,1,1521.2520752,2018,2018/2019
None,Spal,ITA,1,1520.42810059,2019,2019/2020
None,Spal,ITA,2,1458.55871582,2020,2020/2021
None,Spal,ITA,2,1444.51184082,2021,2021/2022
None,Spezia,ITA,2,1438.17150879,2015,2015/2016
None,Spezia,ITA,2,1435.73913574,2016,2016/2017
None,Spezia,ITA,2,1456.4621582,2017,2017/2018
None,Spezia,ITA,2,1422.72509766,2018,2018/2019
None,Spezia,ITA,2,1415.83679199,2019,2019/2020
None,Spezia,ITA,1,1483.15686035,2020,2020/2021
None,Spezia,ITA,1,1539.08862305,2021,2021/2022
None,Ternana,ITA,2,1392.65258789,2015,2015/2016
None,Ternana,ITA,2,1349.73754883,2016,2016/2017
None,Ternana,ITA,2,1387.85058594,2017,2017/2018
None,Ternana,ITA,2,1350.57165527,2018,2018/2019
None,Ternana,ITA,2,1353.48620605,2021,2021/2022
58,Torino,ITA,1,1667.06628418,2015,2015/2016
80,Torino,ITA,1,1638.91833496,2016,2016/2017
57,Torino,ITA,1,1654.64599609,2017,2017/2018
51,Torino,ITA,1,1675.63623047,2018,2018/2019
71,Torino,ITA,1,1646.93896484,2019,2019/2020
None,Torino,ITA,1,1568.56970215,2020,2020/2021
None,Torino,ITA,1,1577.62438965,2021,2021/2022
None,Trapani,ITA,2,1427.43493652,2015,2015/2016
None,Trapani,ITA,2,1373.4354248,2016,2016/2017
None,Trapani,ITA,2,1414.3326416,2017,2017/2018
None,Trapani,ITA,2,1332.18481445,2019,2019/2020
None,Trapani,ITA,2,1415.28479004,2020,2020/2021
None,Udinese,ITA,1,1595.10632324,2015,2015/2016
None,Udinese,ITA,1,1573.96350098,2016,2016/2017
79,Udinese,ITA,1,1626.3026123,2017,2017/2018
None,Udinese,ITA,1,1542.69689941,2018,2018/2019
None,Udinese,ITA,1,1555.48901367,2019,2019/2020
99,Udinese,ITA,1,1592.02319336,2020,2020/2021
97,Udinese,ITA,1,1605.10021973,2021,2021/2022
None,Varese,ITA,2,1334.3815918,2015,2015/2016
None,Venezia,ITA,2,1403.64611816,2017,2017/2018
None,Venezia,ITA,2,1412.97546387,2018,2018/2019
None,Venezia,ITA,2,1373.02807617,2019,2019/2020
None,Venezia,ITA,2,1428.55969238,2020,2020/2021
None,Venezia,ITA,1,1483.5567627,2021,2021/2022
None,Verona,ITA,1,1555.63806152,2015,2015/2016
None,Verona,ITA,2,1521.37878418,2016,2016/2017
None,Verona,ITA,1,1508.33288574,2017,2017/2018
None,Verona,ITA,2,1452.47460938,2018,2018/2019
None,Verona,ITA,1,1481.93774414,2019,2019/2020
93,Verona,ITA,1,1597.69812012,2020,2020/2021
None,Verona,ITA,1,1576.39697266,2021,2021/2022
None,Vicenza,ITA,2,1412.63952637,2015,2015/2016
None,Vicenza,ITA,2,1375.44384766,2016,2016/2017
None,Vicenza,ITA,2,1341.56433105,2017,2017/2018
None,Vicenza,ITA,2,1384.24682617,2020,2020/2021
None,Vicenza,ITA,2,1389.42492676,2021,2021/2022
None,Virtus Lanciano,ITA,2,1377.38745117,2015,2015/2016
None,Virtus Lanciano,ITA,2,1355.02099609,2016,2016/2017
