,Player,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),Pos.,Age,Status,Expiration,Length,EstimatedGross Total(IN EUR),Team,League,Season
19,Mattia Viti,"€ 1,154","€ 60,000",CB,19,,"Jun 30, 2025",4-yrs,"€ 240,000",Empoli,Serie A,2021-2022
20,Leandro Pratelli,€ 769,"€ 40,000",GK,18,,"Jun 30, 2022",1-yr,"€ 40,000",Empoli,Serie A,2021-2022
21,Fabiano Parisi,€ 769,"€ 40,000",LB,20,,"Jun 30, 2023",2-yrs,"€ 80,000",Empoli,Serie A,2021-2022
22,Simone Canestrelli,€ 0,€ 0,CB,20,,"Jun 30, 2022",1-yr,€ 0,Empoli,Serie A,2021-2022
23,Samuel Mraz,€ 0,€ 0,CF,24,,"Jun 30, 2022",1-yr,€ 0,Empoli,Serie A,2021-2022
24,Kevin Piscopo,€ 0,€ 0,SS,23,,"Jun 30, 2022",1-yr,€ 0,Empoli,Serie A,2021-2022
25,Davide Merola,€ 0,€ 0,CF,21,,"Jun 30, 2023",2-yrs,€ 0,Empoli,Serie A,2021-2022
0,José Callejón,"€ 78,269","€ 4,070,000",RW,34,,"Jun 30, 2022",1-yr,"€ 4,070,000",Fiorentina,Serie A,2021-2022
1,Nicolás González,"€ 61,731","€ 3,210,000",LW,23,,"Jun 30, 2026",5-yrs,"€ 16,050,000",Fiorentina,Serie A,2021-2022
2,Giacomo Bonaventura,"€ 53,462","€ 2,780,000",CM,31,,"Jun 30, 2022",1-yr,"€ 2,780,000",Fiorentina,Serie A,2021-2022
3,Gaetano Castrovilli,"€ 49,808","€ 2,590,000",CM,24,,"Jun 30, 2024",3-yrs,"€ 7,770,000",Fiorentina,Serie A,2021-2022
4,Alfred Duncan,"€ 46,346","€ 2,410,000",CM,28,,"Jun 30, 2024",3-yrs,"€ 7,230,000",Fiorentina,Serie A,2021-2022
5,Cristiano Biraghi,"€ 42,692","€ 2,220,000",LB,28,,"Jun 30, 2024",3-yrs,"€ 6,660,000",Fiorentina,Serie A,2021-2022
6,Aleksandr Kokorin,"€ 41,923","€ 2,180,000",CF,30,,"Jun 30, 2024",3-yrs,"€ 6,540,000",Fiorentina,Serie A,2021-2022
7,Marco Benassi,"€ 39,231","€ 2,040,000",CM,26,,"Jun 30, 2022",1-yr,"€ 2,040,000",Fiorentina,Serie A,2021-2022
8,Sofyan Amrabat,"€ 36,923","€ 1,920,000",DM,24,,"Jun 30, 2024",3-yrs,"€ 5,760,000",Fiorentina,Serie A,2021-2022
9,Erick Pulgar,"€ 32,115","€ 1,670,000",DM,27,,"Jun 30, 2023",2-yrs,"€ 3,340,000",Fiorentina,Serie A,2021-2022
10,Pol Lirola,"€ 32,115","€ 1,670,000",RB,23,,"Jun 30, 2024",3-yrs,"€ 5,010,000",Fiorentina,Serie A,2021-2022
11,Nikola Milenkovic,"€ 28,462","€ 1,480,000",CB,23,,"Jun 30, 2022",1-yr,"€ 1,480,000",Fiorentina,Serie A,2021-2022
12,Bartlomiej Dragowski,"€ 28,462","€ 1,480,000",GK,23,,"Jun 30, 2023",2-yrs,"€ 2,960,000",Fiorentina,Serie A,2021-2022
13,Lucas Martínez Quarta,"€ 24,615","€ 1,280,000",CB,25,,"Jun 30, 2025",4-yrs,"€ 5,120,000",Fiorentina,Serie A,2021-2022
