season,competition_id,competition,player_id,name,team_id,team,age,nationality,height,weight,preferred_foot,position,detailed_position,goals,assists,position_am_perc,position_cb_perc,position_cf_perc,position_cm_perc,position_dm_perc,position_gk_perc,position_lb_perc,position_lw_perc,position_rb_perc,position_rw_perc,play_time,ball_in_play_time,shots,shots_open_play,shots_open_play_box,shots_op_left_foot,shots_op_right_foot,shots_op_head,crosses,crosses_open_play,crosses_op_successful,crosses_op_left,crosses_op_right,passes,passes_open_play,passes_op_successful,passes_op_head,passes_op_head_successful,passes_op_final_third,passes_op_final_third_successful,passes_op_box,passes_op_box_successful,launches,launches_successful,carries,carries_box,carry_distance,dribbles,dribbles_successful,dribbles_box,recoveries,tackles,interceptions,blocks,clearances,saves,aerial_duels_att,aerial_duels_att_won,ground_duels_att,ground_duels_att_won,aerial_duels_def,aerial_duels_def_won,ground_duels_def,ground_duels_def_won,name_lower,firstname_lower,lastname_lower,firstinitial_lower
2019/2020,70,Championship,175653,Kelle Roos,24,Derby County,28.0,Netherlands,196.0,,right,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2165.61652,1271.650263,0,0,0,0,0,0,0,0,0,0,0,597,462,417,2,2,0,0,3,0,231,115,598,0,2485.765817,0,0,0,38,3,13,0,25,66,5,4,0,0,8,1,0,0,kelle roos,kelle,roos,k
2018/2019,70,Championship,98770,Ørjan Nyland,7,Aston Villa,30.0,Norway,192.0,90.0,right,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2236.299823,1252.600132,0,0,0,0,0,0,0,0,0,0,0,357,294,265,0,0,0,0,4,0,384,205,521,0,2968.480849,0,0,0,32,0,21,0,16,70,2,2,4,4,7,0,0,0,rjan nyland,rjan,nyland,r
2019/2020,15,League One,97846,Alex Cairns,2048,Fleetwood Town,27.0,England,183.0,72.0,right,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1664.866691,908.1000140000001,0,0,0,0,0,0,0,0,0,0,0,260,202,157,1,0,0,0,5,0,296,153,327,0,2175.906194,0,0,0,21,1,11,0,13,27,1,1,2,2,3,0,1,1,alex cairns,alex,cairns,a
2019/2020,15,League One,61302,Ryan Allsop,112,Wycombe Wanderers,28.0,England,189.0,80.0,right,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1677.916966,832.683242,0,0,0,0,0,0,0,0,0,0,0,181,155,110,2,2,0,0,8,0,422,252,286,0,2220.0514399999997,0,0,0,38,0,8,0,22,53,0,0,4,4,1,1,1,1,ryan allsop,ryan,allsop,r
2018/2019,70,Championship,20487,Vito Mannone,108,Reading,32.0,Italy,191.0,73.0,right,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,584.4832240000001,346.0833103,0,0,0,0,0,0,0,0,0,0,0,90,76,66,0,0,0,0,2,0,98,59,123,0,701.0710516,0,0,0,11,0,5,0,11,17,1,1,1,1,3,0,0,0,vito mannone,vito,mannone,v
2018/2019,70,Championship,220037,Bailey Peacock-Farrell,2,Leeds United,23.0,Northern Ireland,188.0,73.0,left,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2716.416284,1489.533149,0,0,0,0,0,0,0,0,0,0,0,679,561,518,0,0,0,0,0,0,296,131,714,0,2377.720927,1,1,0,53,0,17,0,27,59,1,1,3,3,11,1,1,1,bailey peacock-farrell,bailey,peacock-farrell,b
2018/2019,70,Championship,61760,Kristoffer Nordfeldt,80,Swansea City,31.0,Sweden,190.0,85.0,right,Goalkeeper,Goalkeeper,0,1,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2135.716428,1319.71661,0,0,0,0,0,0,0,0,0,0,0,669,549,503,0,0,0,0,1,0,151,79,635,0,2062.6199149999998,0,0,0,40,1,4,0,16,45,5,4,1,1,7,4,1,0,kristoffer nordfeldt,kristoffer,nordfeldt,k
2018/2019,70,Championship,172936,Max O’Leary,113,Bristol City,23.0,England,185.0,78.0,right,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1381.983238,771.749944,0,0,0,0,0,0,0,0,0,0,0,255,209,170,0,0,0,0,0,0,203,112,291,0,1264.7443640000001,0,0,0,16,0,7,1,22,45,1,1,2,2,7,0,2,1,max oleary,max,oleary,m
2019/2020,15,League One,172936,Max O’Leary,74,Shrewsbury Town,23.0,England,185.0,78.0,right,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1655.433315,877.1667317,0,0,0,0,0,0,0,0,0,0,0,178,158,118,1,1,0,0,1,0,333,177,312,0,2133.242012,0,0,0,21,0,13,0,23,50,0,0,2,2,13,2,0,0,max oleary,max,oleary,m
2019/2020,15,League One,215714,Tomáš Holý,40,Ipswich Town,28.0,Czech Republic,205.0,102.0,right,Goalkeeper,Goalkeeper,0,2,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,779.533153,423.0833573,0,0,0,0,0,0,0,0,0,0,0,101,92,71,0,0,0,0,1,0,200,103,197,0,1190.338735,1,0,0,20,0,9,0,3,15,2,1,0,0,2,1,0,0,tomas holy,tomas,holy,t
2018/2019,70,Championship,19194,David Martin,103,Millwall,34.0,England,186.0,86.0,right,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,968.150003,538.7665397000001,0,0,0,0,0,0,0,0,0,0,0,114,92,66,0,0,0,0,0,0,169,96,157,0,1344.020555,0,0,0,10,1,14,0,3,28,2,1,3,3,2,0,0,0,david martin,david,martin,d
2018/2019,70,Championship,167888,Joe Lumley,52,Queens Park Rangers,25.0,England,191.0,73.0,right,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,4091.666593,2249.066526,0,0,0,0,0,0,0,0,0,0,0,665,547,450,2,1,0,0,4,0,754,460,928,0,5083.193262,0,0,0,54,3,30,0,36,113,3,3,5,5,17,0,0,0,joe lumley,joe,lumley,j
2019/2020,70,Championship,167888,Joe Lumley,52,Queens Park Rangers,25.0,England,191.0,73.0,right,Goalkeeper,Goalkeeper,0,1,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2533.36692,1397.166371,0,0,0,0,0,0,0,0,0,0,0,707,564,504,1,1,0,0,1,0,297,160,746,0,3011.419916,1,1,0,41,2,11,0,20,64,2,2,0,0,7,0,0,0,joe lumley,joe,lumley,j
2019/2020,15,League One,18124,Mark Howard,92,Blackpool,33.0,England,183.0,76.0,right,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,384.78332,206.41666,0,0,0,0,0,0,0,0,0,0,0,37,34,19,0,0,0,0,0,0,85,44,71,0,461.40146889999994,0,0,0,3,1,4,0,5,8,0,0,2,2,3,0,0,0,mark howard,mark,howard,m
2019/2020,32,League Two,18124,Mark Howard,3448,Salford City,33.0,England,183.0,76.0,right,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,289.366727,161.03325700000002,0,0,0,0,0,0,0,0,0,0,0,59,42,21,0,0,0,0,5,0,38,17,47,0,307.9723642,0,0,0,7,0,2,0,2,7,0,0,2,1,0,0,0,0,mark howard,mark,howard,m
2018/2019,70,Championship,40746,Anssi Jaakkola,108,Reading,33.0,Finland,193.0,88.0,right,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1448.350053,846.8500716,0,0,0,0,0,0,0,0,0,0,0,291,199,181,1,0,0,0,0,0,181,90,307,0,1544.1005630000002,0,0,0,27,1,8,0,19,62,0,0,6,6,7,0,1,0,anssi jaakkola,anssi,jaakkola,a
2019/2020,15,League One,40746,Anssi Jaakkola,96,Bristol Rovers,33.0,Finland,193.0,88.0,right,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,780.06645,430.133353,0,0,0,0,0,0,0,0,0,0,0,106,82,53,0,0,0,0,2,0,110,61,124,0,877.7749187000001,0,0,0,10,0,5,0,15,31,1,1,2,2,4,1,0,0,anssi jaakkola,anssi,jaakkola,a
2019/2020,15,League One,171651,Timothy Dieng,290,Doncaster Rovers,25.0,Senegal,190.0,86.0,,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1857.183423,1086.950151,0,0,0,0,0,0,0,0,0,0,0,507,406,361,0,0,0,0,2,0,156,103,464,0,2047.13377,0,0,0,24,0,33,0,11,44,1,1,1,0,11,0,0,0,timothy dieng,timothy,dieng,t
2019/2020,15,League One,106256,Jak Alnwick,92,Blackpool,27.0,England,188.0,82.0,,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,325.783227,173.61673269999997,0,0,0,0,0,0,0,0,0,0,0,35,26,22,0,0,0,0,0,0,85,45,66,0,461.4442927,0,0,0,4,0,2,0,4,5,0,0,0,0,0,0,0,0,jak alnwick,jak,alnwick,j
2019/2020,70,Championship,122074,Marcus Bettinelli,54,Fulham,28.0,England,194.0,82.0,right,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1367.7832130000002,772.466576,0,0,0,0,0,0,0,0,0,0,0,377,306,285,2,2,0,0,2,0,136,59,382,0,1142.49998,1,1,0,20,0,6,0,13,21,2,1,4,4,5,1,1,1,marcus bettinelli,marcus,bettinelli,m
2019/2020,15,League One,141874,Craig MacGillivray,47,Portsmouth,27.0,Scotland,180.0,75.0,left,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,584.216916,297.7333403,0,0,0,0,0,0,0,0,0,0,0,50,46,35,1,0,0,0,1,0,122,97,93,0,545.3190634,0,0,0,6,0,0,0,2,19,0,0,0,0,0,0,0,0,craig macgillivray,craig,macgillivray,c
2019/2020,70,Championship,171160,Bradley Collins,37,Barnsley,23.0,England,184.0,69.0,,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1843.182936,965.5831514,0,0,0,0,0,0,0,0,0,0,0,279,229,189,3,2,0,0,5,0,391,191,462,0,2772.780198,0,0,0,66,1,13,1,29,58,1,1,3,3,6,0,0,0,bradley collins,bradley,collins,b
2019/2020,32,League Two,112520,Alex Palmer,76,Plymouth Argyle,24.0,England,191.0,72.0,right,Goalkeeper,Goalkeeper,0,1,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,3519.350086,1971.049963,0,0,0,0,0,0,0,0,0,0,0,893,663,587,0,0,0,0,5,0,448,201,927,0,5076.5381689999995,0,1,0,62,3,57,0,33,105,4,4,3,2,19,0,0,0,alex palmer,alex,palmer,a
2018/2019,70,Championship,92505,George Long,88,Hull City,26.0,England,193.0,94.0,,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,290.44991,162.04995569999997,0,0,0,0,0,0,0,0,0,0,0,45,43,33,0,0,0,0,1,0,61,33,76,0,446.65558169999997,0,0,0,1,0,6,0,2,6,0,0,2,2,4,0,0,0,george long,george,long,g
2019/2020,70,Championship,92505,George Long,88,Hull City,26.0,England,193.0,94.0,,Goalkeeper,Goalkeeper,0,2,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,4405.4331649999995,2425.966339,0,0,0,0,0,0,0,0,0,0,0,817,648,525,1,1,0,0,9,0,687,392,917,0,5211.034712,0,1,0,44,4,36,0,42,117,2,2,10,8,14,2,1,0,george long,george,long,g
2019/2020,70,Championship,102549,Adam Davies,110,Stoke City,28.0,Wales,185.0,75.0,right,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,397.866577,217.33340299999998,0,0,0,0,0,0,0,0,0,0,0,35,31,21,0,0,0,0,0,0,99,77,72,0,360.50404689999993,0,0,0,4,1,2,0,2,7,0,0,1,0,2,0,0,0,adam davies,adam,davies,a
2019/2020,70,Championship,102236,Simon Sluga,102,Luton Town,27.0,Croatia,190.0,84.0,right,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,3133.533367,1692.3333030000001,0,0,0,0,0,0,0,0,0,0,0,699,568,465,0,0,0,0,7,0,481,241,754,1,3973.4393159999995,0,0,0,34,3,14,0,40,93,1,1,1,0,9,1,1,1,simon sluga,simon,sluga,s
2018/2019,70,Championship,167896,Cameron Dawson,19,Sheffield Wednesday,25.0,England,183.0,69.0,right,Goalkeeper,Goalkeeper,0,1,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2535.116631,1450.499966,0,0,0,0,0,0,0,0,0,0,0,427,348,304,0,0,0,0,9,0,471,280,608,0,3310.027121,0,0,0,25,0,13,0,23,86,1,0,2,2,10,0,0,0,cameron dawson,cameron,dawson,c
2019/2020,70,Championship,167896,Cameron Dawson,19,Sheffield Wednesday,25.0,England,183.0,69.0,right,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2264.1830170000003,1229.483277,0,0,0,0,0,0,0,0,0,0,0,259,224,170,0,0,0,0,10,0,513,330,483,0,3203.001386,0,0,0,24,0,21,0,11,51,1,1,0,0,5,1,0,0,cameron dawson,cameron,dawson,c
2019/2020,15,League One,192182,Kieran O'Hara,587,Burton Albion,24.0,Republic of Ireland,191.0,78.0,,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1752.466375,984.5499504000001,0,0,0,0,0,0,0,0,0,0,0,299,210,173,0,0,0,0,2,0,246,123,317,0,1742.169933,0,0,0,20,1,20,1,14,42,2,0,4,3,6,0,0,0,kieran o'hara,kieran,o'hara,k
2018/2019,70,Championship,15174,Dean Gerken,40,Ipswich Town,35.0,England,193.0,76.0,right,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1752.4000010000002,941.933285,0,0,0,0,0,0,0,0,0,0,0,284,230,196,1,1,0,0,1,0,334,199,366,0,2014.571701,0,0,0,23,1,13,0,20,48,0,0,1,1,7,0,0,0,dean gerken,dean,gerken,d
2019/2020,32,League Two,15174,Dean Gerken,99,Colchester United,35.0,England,193.0,76.0,right,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,3728.033403,2030.116942,0,0,0,0,0,0,0,0,0,0,0,570,408,348,0,0,0,0,6,0,523,290,619,0,3115.098191,1,1,0,52,0,17,0,30,88,2,2,5,3,12,0,1,1,dean gerken,dean,gerken,d
2018/2019,70,Championship,40346,Erwin Mulder,80,Swansea City,31.0,Netherlands,193.0,88.0,right,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2333.1995030000003,1400.300013,0,0,0,0,0,0,0,0,0,0,0,689,539,500,0,0,0,0,2,0,291,168,707,0,2738.564139,1,1,0,42,0,13,0,8,74,2,2,1,1,4,0,1,1,erwin mulder,erwin,mulder,e
2019/2020,70,Championship,40346,Erwin Mulder,80,Swansea City,31.0,Netherlands,193.0,88.0,right,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,498.11683700000003,283.7500427,0,0,0,0,0,0,0,0,0,0,0,122,85,76,0,0,0,0,0,0,36,23,107,0,380.2826336,0,0,0,12,0,0,0,0,11,0,0,0,0,0,0,0,0,erwin mulder,erwin,mulder,e
2019/2020,15,League One,198508,Josh Vickers,83,Lincoln City,24.0,England,183.0,72.0,right,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1862.533381,1009.0166310000001,0,0,0,0,0,0,0,0,0,0,0,318,220,185,0,0,0,0,1,0,221,122,309,0,2068.638817,0,0,0,13,0,13,0,24,49,0,0,2,2,5,0,0,0,josh vickers,josh,vickers,j
2019/2020,15,League One,80282,Lee Nicholls,22,Milton Keynes Dons,27.0,England,191.0,85.0,right,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1659.6999640000001,947.3500572999999,0,0,0,0,0,0,0,0,0,0,0,548,437,402,2,1,0,0,3,0,244,152,610,0,4122.277877,0,1,0,16,0,11,0,6,54,2,1,5,5,6,1,1,1,lee nicholls,lee,nicholls,l
2019/2020,32,League Two,39325,Richard O'Donnell,55,Bradford City,31.0,England,188.0,84.0,left,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,3242.733457,1656.716556,0,0,0,0,0,0,0,0,0,0,0,369,299,237,0,0,0,0,6,0,591,379,595,0,4169.613472999999,0,0,0,39,0,20,0,23,82,4,3,0,0,8,0,0,0,richard o'donnell,richard,o'donnell,r
2019/2020,32,League Two,19237,Scott Brown,50,Port Vale,35.0,England,184.0,96.0,right,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,3604.016573,1925.66642,0,0,0,0,0,0,1,1,0,1,0,356,280,225,0,0,0,0,8,0,755,438,542,0,3364.532559,0,1,0,50,1,27,0,15,104,2,2,2,2,9,1,1,0,scott brown,scott,brown,s
2019/2020,15,League One,108132,Jamal Blackman,96,Bristol Rovers,26.0,England,199.0,93.0,right,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,986.7333363,492.683389,0,0,0,0,0,0,0,0,0,0,0,113,103,75,0,0,0,0,3,0,227,135,218,0,1681.5617149999998,1,1,0,15,0,21,0,4,28,0,0,1,1,4,0,0,0,jamal blackman,jamal,blackman,j
2019/2020,32,League Two,19775,Scott Flinders,87,Cheltenham Town,34.0,England,193.0,87.0,,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2415.3332960000002,1361.866782,0,0,0,0,0,0,1,1,1,0,1,429,339,281,2,1,2,2,1,0,415,227,547,0,3178.9117690000003,0,0,0,62,0,22,0,17,73,1,1,2,2,12,2,0,0,scott flinders,scott,flinders,s
2019/2020,15,League One,95323,Lee Burge,56,Sunderland,27.0,England,180.0,70.0,both,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,96.11667,56.733335700000005,0,0,0,0,0,0,0,0,0,0,0,18,17,14,0,0,0,0,0,0,25,14,38,0,218.8647005,0,0,0,4,0,1,0,0,2,0,0,0,0,0,0,0,0,lee burge,lee,burge,l
2018/2019,70,Championship,11662,Ben Alnwick,30,Bolton Wanderers,33.0,England,183.0,80.0,right,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2612.316288,1476.449988,1,1,1,0,0,1,0,0,0,0,0,223,196,154,0,0,0,0,6,0,720,474,570,0,3789.591503,0,0,0,37,0,27,1,22,70,2,2,2,2,11,0,1,1,ben alnwick,ben,alnwick,b
2019/2020,70,Championship,160997,Liam Kelly,52,Queens Park Rangers,24.0,Scotland,,,right,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1849.183653,1045.0333210000001,0,0,0,0,0,0,0,0,0,0,0,545,438,390,0,0,0,0,4,0,247,107,610,0,2333.119673,0,0,0,12,1,9,0,17,48,0,0,1,1,6,0,2,1,liam kelly,liam,kelly,l
2019/2020,15,League One,48903,Joe Day,2623,AFC Wimbledon,30.0,England,194.0,76.0,,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,871.9498460000001,465.333474,0,0,0,0,0,0,0,0,0,0,0,92,84,64,0,0,0,0,1,0,234,125,198,0,1221.843991,2,1,0,14,0,12,0,15,29,0,0,0,0,3,1,0,0,joe day,joe,day,j
2019/2020,70,Championship,48903,Joe Day,97,Cardiff City,30.0,England,194.0,76.0,,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,42.049993,21.749997,0,0,0,0,0,0,0,0,0,0,0,4,4,3,0,0,0,0,0,0,15,9,13,0,93.80979851,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,joe day,joe,day,j
2019/2020,32,League Two,175655,Owen Evans,84,Macclesfield Town,23.0,Wales,184.0,70.0,,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2322.099654,1265.166586,0,0,0,0,0,0,0,0,0,0,0,305,267,183,2,2,0,0,5,0,508,278,512,0,3165.584829,9,8,0,29,0,36,0,22,68,1,1,2,1,6,2,0,0,owen evans,owen,evans,o
2019/2020,32,League Two,175655,Owen Evans,87,Cheltenham Town,23.0,Wales,184.0,70.0,,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1275.5830839999999,664.9166763999999,0,0,0,0,0,0,0,0,0,0,0,243,209,149,0,0,0,0,4,0,241,111,302,0,1909.935723,1,1,0,21,1,7,0,17,29,1,1,0,0,8,0,1,0,owen evans,owen,evans,o
2018/2019,70,Championship,38219,Luke Daniels,94,Brentford,32.0,England,185.0,81.0,right,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1184.183628,661.3833467000001,0,0,0,0,0,0,0,0,0,0,0,279,224,209,1,1,0,0,0,0,161,76,309,1,1517.183037,0,0,0,18,0,7,0,15,34,1,1,0,0,4,0,0,0,luke daniels,luke,daniels,l
2019/2020,15,League One,40287,Scott Davies,44,Tranmere Rovers,33.0,England,183.0,70.0,,Goalkeeper,Goalkeeper,0,1,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1198.79998,607.550145,0,0,0,0,0,0,0,0,0,0,0,140,117,76,0,0,0,0,6,0,281,174,233,0,1909.639624,0,0,0,8,0,11,0,17,42,2,2,1,1,3,0,1,1,scott davies,scott,davies,s
2018/2019,70,Championship,72775,Stefan Marinovic,113,Bristol City,28.0,New Zealand,191.0,92.0,right,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,95.29994,52.61662,0,0,0,0,0,0,0,0,0,0,0,15,14,12,0,0,0,0,0,0,17,5,19,0,69.82122999,0,0,0,1,0,0,0,2,4,0,0,0,0,0,0,0,0,stefan marinovic,stefan,marinovic,s
2018/2019,70,Championship,60713,Christopher Maxwell,107,Preston North End,30.0,Wales,185.0,87.0,,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,796.150164,419.816636,0,0,0,0,0,0,0,0,0,0,0,81,70,67,0,0,0,0,0,0,166,95,153,0,992.8729416000001,0,0,0,12,0,3,0,6,23,0,0,3,3,1,0,2,2,christopher maxwell,christopher,maxwell,c
2019/2020,15,League One,60713,Christopher Maxwell,92,Blackpool,30.0,Wales,185.0,87.0,,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,875.0333210000001,470.3666183,0,0,0,0,0,0,0,0,0,0,0,117,99,80,0,0,0,0,2,0,183,97,170,0,1215.1645,0,0,0,9,0,7,0,13,21,0,0,3,3,2,1,0,0,christopher maxwell,christopher,maxwell,c
2019/2020,32,League Two,197462,William Jääskeläinen,51,Crewe Alexandra,22.0,Finland,183.0,73.0,,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,3306.066793,1915.433264,0,0,0,0,0,0,0,0,0,0,0,705,496,460,1,1,0,0,1,0,414,218,735,0,3128.6744719999997,0,0,0,54,1,34,0,26,92,2,2,6,6,18,1,2,0,william jaaskelainen,william,jaaskelainen,w
2019/2020,32,League Two,60084,David Cornell,75,Northampton Town,29.0,Wales,180.0,73.0,right,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,3184.416183,1584.300094,0,0,0,0,0,0,0,0,0,0,0,372,283,180,0,0,0,0,8,0,808,448,601,0,4276.622189,1,1,0,40,0,22,1,16,92,0,0,1,0,13,0,0,0,david cornell,david,cornell,d
2019/2020,32,League Two,28072,James McKeown,53,Grimsby Town,31.0,Republic of Ireland,187.0,89.0,,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,3499.049856,1881.7497899999998,1,1,1,0,0,1,0,0,0,0,0,688,527,423,2,2,1,1,10,1,613,402,838,1,5436.882027000001,2,2,0,76,0,23,0,38,99,3,3,5,5,8,0,0,0,james mckeown,james,mckeown,j
2018/2019,70,Championship,55451,Jamie Jones,111,Wigan Athletic,31.0,England,191.0,90.0,,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1181.49994,624.8332803,0,0,0,0,0,0,0,0,0,0,0,157,120,103,0,0,0,0,1,0,223,115,226,0,1510.222205,0,0,0,16,0,3,0,17,34,2,2,1,1,8,2,0,0,jamie jones,jamie,jones,j
2019/2020,70,Championship,55451,Jamie Jones,111,Wigan Athletic,31.0,England,191.0,90.0,,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,679.200013,357.76680130000005,0,0,0,0,0,0,0,0,0,0,0,104,78,68,0,0,0,0,0,0,90,58,118,0,475.57041200000003,0,0,0,7,0,3,1,5,14,0,0,2,2,2,0,0,0,jamie jones,jamie,jones,j
2019/2020,32,League Two,58303,Paul Farman,288,Stevenage,30.0,England,196.0,92.0,,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,3437.5004770000005,1831.3167079999998,0,0,0,0,0,0,0,0,0,0,0,382,278,246,0,0,1,1,4,0,658,390,596,0,4008.4592789999997,1,1,0,50,2,18,0,31,126,0,0,3,3,12,0,1,1,paul farman,paul,farman,p
2019/2020,32,League Two,428971,Steven Benda,46,Swindon Town,21.0,Germany,192.0,83.0,,Goalkeeper,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2264.516626,1215.666524,0,0,0,0,0,0,0,0,0,0,0,502,431,359,0,0,1,1,4,0,334,161,593,0,3279.658605,0,0,0,66,1,32,0,15,46,2,2,7,7,11,1,2,1,steven benda,steven,benda,s
